subject,split,trial_id,task,sequence_length,movement_mean,movement_std,movement_max,movement_min,movement_median,movement_cv,movement_kurtosis,scanpath_length,gaze_dispersion,center_distance_mean,center_distance_std,center_distance_max,gaze_velocity_mean,gaze_velocity_std,gaze_velocity_max,fixation_mean_duration,fixation_max_duration,fixation_count,hull_area
sub-084,train,19,listening,5,0.03511422000456829,0.6694437485239945,0.7717982580123766,-0.02303997204251862,-0.0896969769699026,0.2613992065894816,-0.7376003020780824,-0.017461215970627622,1.5604527336319662,1.2721417056103081,0.6932736168965657,0.588001157906135,-0.20902700076734745,-0.4287466634327232,-0.5924236326205456,-0.4206532650303842,-0.27869380093428275,-0.6879774570402731,1.363443938560836
sub-084,train,20,listening,13,-0.040050604948946446,0.5554969755823402,1.2090435962478128,-0.02314441503991528,-0.09416405887156307,0.6351261199343382,-0.6820337065848124,0.2147856325192397,0.8211152477165689,1.2105751661726312,-0.11376201126665468,1.3277504192607024,-0.23394306848153873,-0.4337457349490308,-0.5894685023664966,-0.23421629759452434,-0.15355884767959688,-0.1878950675033251,2.124882628154784
sub-084,train,21,memory,9,0.7615020325637812,2.0766575512991112,1.709793769466118,-0.022802532135800097,0.0002868984093698463,-0.5509699499559946,-0.7897198747602155,0.33476963383417807,1.7641650381069935,0.8109409160545608,1.9757903891234059,1.2866117142313702,-0.21000467056897593,-0.4499323751382085,-0.6062865120390711,15.081502745378128,5.727783955290641,-1.3941123126364268,2.3065216843398266
sub-084,train,22,memory,5,0.6161713531375016,2.03739262296058,1.2248783900816491,-0.023112715336916657,-0.1156096355404394,-0.3185900810989599,-0.7818379532726373,-0.22535403612156954,1.8178394584342121,2.708399492212415,2.3570998079977796,1.404265420572824,-0.22034967660657992,-0.4506410561503809,-0.6125675508876482,1.8036382312938675,-0.02842389442491098,-1.3454931914314456,0.10405834555473266
sub-084,train,23,memory,5,0.6014216745622398,1.1445283662774222,1.0927190744175639,-0.01871842227352277,-0.03112225497021735,-0.9171347038090112,-0.7840378438912304,0.17422989998499747,0.027742520790361415,0.5035979438281647,0.14822758907305048,1.3262390605262826,-0.15577726750345794,-0.43778537439428794,-0.609223232252033,1.2683154369647955,0.4721159185938326,-1.1880598465772212,0.24670940486683296
sub-084,train,24,memory,9,1.1783645231681015,2.3748367283134466,1.1561116769751745,-0.02311514485737945,0.0049789605192298155,-0.8904085898194537,-0.8200182461211436,0.2801367621628528,1.3111494453157766,0.6521055178799671,0.6868621257906266,1.0208367644952834,-0.11414207788668639,-0.39848130408025295,-0.5845594417759519,1.202685369576497,0.4721159185938326,-1.2737221077479022,0.8978594596373057
sub-084,train,25,memory,5,0.7878084131317236,1.7401988816442329,0.9517280450958273,-0.023120372697938426,-0.052645888035949294,-0.788869703778937,-0.8004974223751632,-0.1405161277789473,0.05676986891302579,0.494292115189789,-0.11615590905228396,0.9083136123291685,-0.19168068947337996,-0.4471497228320225,-0.6120332693109238,-0.1704529915965039,-0.15355884767959688,-1.2783525002436147,0.21861090298518257
sub-084,train,26,memory,13,0.3545976451751899,1.1867445385606927,0.6596866772846098,-0.02281595330674557,-0.036995669529414604,-0.4003591598740627,-0.7823867459022469,0.804710814011164,1.616059091024873,0.40943165883669635,1.1968016454705603,1.3082677983782836,0.03806441320765675,0.2737770297894446,0.5951786588684093,-0.05498806008202754,0.09671105882977492,-0.5699024483996049,0.8012859126795999
sub-084,train,27,memory,9,0.21074466749328244,0.8655746856405422,0.6729207698382064,-0.022857525116049545,-0.06916774794094634,-0.30226644617106446,-0.7379741305092334,0.2812489392969991,0.5068585398209109,0.36265790587821906,0.7178972035876393,1.0682335051951177,0.3007150604436396,0.8535816619692349,1.1888108145715313,0.22765311898819127,0.09671105882977492,-0.792161288193804,-0.03728928751900985
sub-084,train,28,memory,13,0.29832150816464004,0.8132632571420996,0.5772178888915608,-0.02314441473965118,-0.08349965319469933,-0.6239522791491897,-0.7823138094934101,0.6307909301323561,0.20394581651665353,0.42811350224794387,0.14603120406003078,0.9567940227583501,0.014033921211688304,0.02015972507211208,-0.03494274150799236,0.5142854005332912,1.4731955446313196,-0.7088142232709793,0.6896362258211465
sub-084,train,29,memory,13,0.43441542006300066,1.6508440361937982,1.7372204510045945,-0.023057895968288944,-0.053728293169107405,-0.19467991911987698,-0.7650134000109854,1.029028134507553,1.8190168364213437,0.5035734466893476,1.180443964957512,1.2721605259386628,-0.13429918374185762,-0.16728560289894126,-0.09294031394838514,1.5041337297474757,11.609126758260876,-0.782900503202379,1.550810775229351
sub-084,train,30,memory,9,0.31078933716531093,1.0172830606189538,0.6806394160427414,-0.02214621666231938,-0.06901687515366005,-0.4478597649685831,-0.7707930691123478,0.52550604687725,1.3143426170760646,0.2603708914589795,0.8265049266100677,1.256309980091605,-0.1708570830536531,-0.4221976604444016,-0.5928516896119682,-0.2156221080986905,-0.15355884767959688,-0.6648254945617108,2.0186570583689214
sub-084,train,31,memory,5,0.03392242324037602,0.29118808494228576,0.6644055446943066,-0.023134693464282145,-0.033435258643728684,-0.3955058187383835,-0.6841857481126948,-0.25628932898503204,0.8283185950830496,0.8076546522478465,1.1713638561876931,0.8798648927691755,-0.23959656233421195,-0.45280085340379345,-0.6127378608358066,23.379713688112137,10.357777225714019,-1.4103186863714203,0.1046016511060467
sub-084,train,32,memory,13,0.6558780506942361,1.970692963157207,1.1396455804721441,-0.023144414479288472,-0.0676420388094969,-0.440349567334715,-0.7964580335516249,0.15302322522399522,1.7695503586833645,0.8079625396445563,1.6549043197173121,1.015568816562332,-0.2358539877444369,-0.444248902789353,-0.6013445771670836,9.18868549190727,5.102109189017211,-1.368645153910008,2.1729220013275055
sub-084,train,33,listening,9,0.3761102730186472,0.9536151643284229,0.47698907783198347,-0.023144324367390837,-0.06796803869334703,-0.6715406971763188,-0.7699798462561813,-0.29483071766745145,0.3449905403344524,0.6518096863404279,0.6157313810561762,0.81429641916865,0.06447740804927822,0.062281706073046596,-0.1756375586348061,14.97921863435437,1.8486004043953774,-1.4334706488499829,-0.23919883100764514
sub-084,train,34,listening,13,3.1105677539230063,5.06455047595847,1.0519580011209,-0.023144414132883605,0.10411894128335578,-1.14200653936806,-0.8399098276639495,2.006067103701848,3.319150136685931,1.7954778735752266,2.0066113681999376,1.1754554541104436,-0.1488346754727064,-0.45057905213007354,-0.6158500719977887,0.8895823408315455,0.9726557316125762,-1.204266220312215,0.8783652873689398
